time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0101376,0.01006867,0.01062355,0.01113669,0.01033684,0.01028987,0.12738489,0.06091533,0.0727901,0.01004465,0.02967682,0.04128231,0.01002266,0.01002959,0.02967795,0.03371332,0.01097781,0.06592903,0.04403332,0.043532,0.02285322,0.02435607,0.02400876,0.01955033,0.01089065,0.13477336,0.26248841,0.03897866,0.0101583,0.01000824,0.02571073,0.23316174,0.07875154,0.01000422,0.01058097,0.16411394,0.01000598,0.0100131,0.01000478,0.01000813,0.01002029,0.01001302,0.01002215,0.01001765,0.01001809,0.01002118,0.01227499,0.02540488,0.03147771,0.01111815,0.01454634,0.01441548,0.04976929,0.010777,0.03346234,0.06834807,0.01001144,0.1442997,0.05496897,0.01610073,0.04721087,0.02398315,0.01342071,0.01004939,0.01108381,0.02481901,0.04456649,0.01021103,0.01005221,0.0100126,0.02393464,0.120852,0.02017558,0.01001384,0.03622375,0.05932771,0.01001213,0.01002066,0.01000869,0.01001491
0.01,0.01012478,0.01006786,0.0110175,0.01265355,0.01036942,0.01021368,0.12267952,0.05033186,0.07310535,0.01004541,0.02869039,0.03977543,0.01001926,0.01002121,0.04072316,0.05465817,0.01329344,0.08129557,0.05084162,0.04698795,0.02573967,0.02530475,0.02352121,0.01714915,0.01017742,0.13557079,0.26411129,0.03304536,0.01008104,0.01000901,0.01835204,0.22474421,0.07519493,0.0100041,0.01043673,0.16809591,0.01000593,0.0100159,0.0100058,0.01000989,0.01002416,0.01001589,0.01002505,0.01003211,0.01002063,0.01002467,0.01134005,0.03044776,0.03017697,0.01058749,0.01480973,0.01517273,0.05260247,0.01180914,0.02028719,0.02544396,0.01001324,0.12872283,0.05317314,0.01951412,0.04480692,0.02568344,0.01452719,0.0100612,0.01709979,0.02622938,0.04844191,0.0104097,0.01008603,0.0100136,0.02776653,0.1100769,0.02071864,0.01001848,0.03653315,0.06085025,0.01002332,0.01001908,0.01000661,0.01001212
0.02,0.0100961,0.01006176,0.01050682,0.01301036,0.01016666,0.0101182,0.1184835,0.04218311,0.07196328,0.0100482,0.02659517,0.03743248,0.01001739,0.01001755,0.05075937,0.07221392,0.01569529,0.09870857,0.05900723,0.05181856,0.02962484,0.02700625,0.02331848,0.01315232,0.0101104,0.13364028,0.26075768,0.02960754,0.01007264,0.01000977,0.01257908,0.2184795,0.07215423,0.010004,0.01020211,0.1683503,0.01000601,0.01001848,0.01000676,0.01001153,0.01003615,0.01002534,0.01003052,0.01003843,0.01002757,0.01003523,0.01017271,0.04191173,0.02894194,0.01014935,0.01435286,0.01618683,0.06035782,0.01950722,0.01010826,0.01005109,0.01001416,0.104002,0.04107085,0.01443083,0.04258128,0.02679676,0.01398704,0.01010441,0.05783181,0.02926405,0.05660393,0.01027329,0.0129072,0.01001204,0.03616981,0.09781105,0.02286902,0.01001996,0.03731379,0.06883968,0.01002833,0.0100126,0.01000421,0.01000787
0.03,0.01008987,0.01005204,0.01167552,0.01693995,0.0103446,0.0101378,0.11247902,0.03664342,0.07082103,0.01004933,0.02569785,0.03438214,0.01001583,0.01001482,0.05880901,0.08510667,0.02017407,0.11813027,0.06864104,0.05834936,0.03625084,0.03201689,0.0270206,0.01380424,0.01008717,0.13099026,0.25626463,0.03076525,0.01005994,0.01001065,0.01330103,0.21069235,0.06836341,0.01000385,0.01127746,0.16704988,0.01000613,0.01002291,0.01000834,0.01001427,0.01004059,0.01002961,0.01002961,0.0100341,0.01002906,0.01004692,0.0103247,0.0507867,0.03280074,0.01022951,0.01744142,0.01940932,0.06114063,0.03560515,0.01006334,0.01002353,0.01001195,0.08129695,0.02639736,0.01253971,0.04051119,0.02758947,0.01690937,0.01135927,0.09551031,0.0336132,0.06426333,0.01123246,0.05584422,0.01000976,0.04373217,0.08754247,0.02714322,0.0100181,0.03744718,0.07663791,0.0100251,0.01001009,0.01000328,0.01000623
0.04,0.01007097,0.01004468,0.01059556,0.01583357,0.01013246,0.01008824,0.1061375,0.03152382,0.06830512,0.01005472,0.02301845,0.03137711,0.01001503,0.01001338,0.06665826,0.09671527,0.0191027,0.13835238,0.07938896,0.06657161,0.04258134,0.03663941,0.02959672,0.01109099,0.01008905,0.12696556,0.24910787,0.03340336,0.01005387,0.01001153,0.01110869,0.20293955,0.06444474,0.01000374,0.01147112,0.16419204,0.01000641,0.01002534,0.01000928,0.01001587,0.01008989,0.01014728,0.01003236,0.01003015,0.01004103,0.01007435,0.01009753,0.05962434,0.03301815,0.01011098,0.01720402,0.02075046,0.0606453,0.05131715,0.01003155,0.01001512,0.0100107,0.06447085,0.0161741,0.01048716,0.04002646,0.02845062,0.01639376,0.01650535,0.12788342,0.03766401,0.07321101,0.01073209,0.09714389,0.010009,0.05210524,0.08226137,0.0308806,0.01001593,0.03903777,0.08342852,0.01002119,0.01000823,0.01000266,0.01000511
0.05,0.01006225,0.01003751,0.01072767,0.01567242,0.0101548,0.01008324,0.09929567,0.02921572,0.06492043,0.01005703,0.02127649,0.02748067,0.01001459,0.01001255,0.07296231,0.10442302,0.01681929,0.15935914,0.0911266,0.0763763,0.0499534,0.04294644,0.03439703,0.01091931,0.01008056,0.1206805,0.23733172,0.03997076,0.01004881,0.010013,0.0113543,0.1955736,0.06057226,0.01000362,0.01550379,0.15916753,0.01000686,0.01003798,0.01001361,0.01002353,0.01041647,0.01751053,0.01003099,0.01002564,0.01005173,0.01020353,0.01011837,0.06819848,0.03528298,0.01010737,0.01861831,0.02232154,0.05994981,0.06667012,0.01002402,0.01001128,0.01000939,0.05737516,0.01338729,0.01043564,0.04288002,0.03204438,0.01902125,0.0290615,0.1551359,0.04204996,0.08179416,0.01144961,0.1293311,0.0100078,0.0618962,0.07983742,0.03439604,0.01001422,0.04428295,0.08806895,0.01001783,0.01000683,0.01000218,0.01000424
0.06,0.0100507,0.01003142,0.01051453,0.01440252,0.01011545,0.01006777,0.09277429,0.02922496,0.06049523,0.01005723,0.01983281,0.02298755,0.01001483,0.01001222,0.07791312,0.10861171,0.01353903,0.18079457,0.10358361,0.0874925,0.05772815,0.04996843,0.03993453,0.01079049,0.01007887,0.11152636,0.21959711,0.04901133,0.01004629,0.01001301,0.01234768,0.18988024,0.0572077,0.01000358,0.02362592,0.15188901,0.01000765,0.010035,0.01001254,0.01002159,0.01100111,0.03587084,0.01002727,0.01002243,0.01004435,0.0102785,0.01008102,0.07670518,0.03751077,0.01006549,0.01974573,0.0232129,0.0597382,0.08067279,0.01001913,0.01000917,0.01000801,0.06118978,0.01323758,0.01038382,0.04874001,0.03805896,0.02299295,0.03736598,0.17675254,0.04645203,0.09046871,0.0121164,0.1526714,0.01000688,0.0731432,0.0807392,0.03736309,0.01001371,0.05351597,0.09154812,0.0100166,0.01000582,0.01000184,0.01000362
0.07,0.01004182,0.01002632,0.01011894,0.01088572,0.01006972,0.01005551,0.08689962,0.03048585,0.05354607,0.01008823,0.01630301,0.0183061,0.0100159,0.01001264,0.08085869,0.10807705,0.01034584,0.2030953,0.11671607,0.0996578,0.06625134,0.0578973,0.04615071,0.0101853,0.01009192,0.09948554,0.19576352,0.06055059,0.01004464,0.01001282,0.01154402,0.1869776,0.05472142,0.01000358,0.03375477,0.14289765,0.01000893,0.0100271,0.01000988,0.01001693,0.01091615,0.05499853,0.01002503,0.01001965,0.01004385,0.01015435,0.01005186,0.08477438,0.03775585,0.01008936,0.01847064,0.02289401,0.05977683,0.09211192,0.01001578,0.01000771,0.01000708,0.06491066,0.01111488,0.01011567,0.05448047,0.04447072,0.02667502,0.04501701,0.19578879,0.05076441,0.09907843,0.01144223,0.17353865,0.01000622,0.08470195,0.08241908,0.04050402,0.01001254,0.06368638,0.09446113,0.0100147,0.01000504,0.01000157,0.01000313
0.08,0.01003511,0.0100221,0.01011003,0.01064989,0.01006052,0.01004846,0.08141276,0.03587976,0.049219,0.01006817,0.01530076,0.01472975,0.01001925,0.01001502,0.08134211,0.10192886,0.01017542,0.22649572,0.13037505,0.1125236,0.07581162,0.06698516,0.053544,0.01027735,0.0101297,0.08457389,0.16583517,0.07445012,0.01004494,0.01001223,0.01497842,0.18686217,0.05317131,0.01000365,0.04746255,0.13071966,0.01001089,0.01002374,0.01000855,0.01001471,0.01556351,0.07371041,0.01002332,0.01001764,0.01004641,0.01067271,0.01005177,0.09180588,0.03986707,0.01006476,0.01915562,0.02239577,0.06007741,0.10120552,0.01001374,0.01000668,0.01000642,0.06502194,0.01112921,0.01014604,0.05924211,0.04986366,0.03147843,0.05239263,0.21319771,0.05467571,0.10670947,0.01298538,0.19253498,0.0100058,0.09570902,0.08241988,0.04315263,0.01001173,0.0733369,0.09643001,0.01001338,0.01000449,0.01000139,0.0100028
0.09,0.01002918,0.01001861,0.01005729,0.01013902,0.01004616,0.01004108,0.07694425,0.04333874,0.04604354,0.01041595,0.0140884,0.01276937,0.01003417,0.01002734,0.08024415,0.09221,0.01004685,0.25017416,0.14381087,0.12511721,0.086,0.0766151,0.06131225,0.0102481,0.01070734,0.06744473,0.13103838,0.08919496,0.01005051,0.01001126,0.01988638,0.1900337,0.05276815,0.01000387,0.06161648,0.11496457,0.0100142,0.01002033,0.01000729,0.01001257,0.02398324,0.09118062,0.0100221,0.01001605,0.01004792,0.01181602,0.01004574,0.09780125,0.04193589,0.01004935,0.01921166,0.02160858,0.06008091,0.10841103,0.010012,0.01000588,0.01000589,0.06140864,0.01074575,0.01011182,0.06299277,0.054801,0.03647093,0.05949522,0.22874866,0.0583334,0.11381719,0.0136712,0.20989576,0.01000557,0.10612583,0.0792448,0.04448699,0.01001082,0.08297597,0.09870932,0.01001242,0.01000405,0.01000125,0.01000254
