time,pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,femur_r_qw,femur_r_qx,femur_r_qy,femur_r_qz,tibia_r_qw,tibia_r_qx,tibia_r_qy,tibia_r_qz,patella_r_qw,patella_r_qx,patella_r_qy,patella_r_qz,talus_r_qw,talus_r_qx,talus_r_qy,talus_r_qz,calcn_r_qw,calcn_r_qx,calcn_r_qy,calcn_r_qz,toes_r_qw,toes_r_qx,toes_r_qy,toes_r_qz,femur_l_qw,femur_l_qx,femur_l_qy,femur_l_qz,tibia_l_qw,tibia_l_qx,tibia_l_qy,tibia_l_qz,patella_l_qw,patella_l_qx,patella_l_qy,patella_l_qz,talus_l_qw,talus_l_qx,talus_l_qy,talus_l_qz,calcn_l_qw,calcn_l_qx,calcn_l_qy,calcn_l_qz,toes_l_qw,toes_l_qx,toes_l_qy,toes_l_qz,torso_qw,torso_qx,torso_qy,torso_qz,humerus_r_qw,humerus_r_qx,humerus_r_qy,humerus_r_qz,ulna_r_qw,ulna_r_qx,ulna_r_qy,ulna_r_qz,radius_r_qw,radius_r_qx,radius_r_qy,radius_r_qz,hand_r_qw,hand_r_qx,hand_r_qy,hand_r_qz,humerus_l_qw,humerus_l_qx,humerus_l_qy,humerus_l_qz,ulna_l_qw,ulna_l_qx,ulna_l_qy,ulna_l_qz,radius_l_qw,radius_l_qx,radius_l_qy,radius_l_qz,hand_l_qw,hand_l_qx,hand_l_qy,hand_l_qz
0.0,0.9996966871497448,-0.005588504610453353,0.02076518015715333,-0.012004566259774021,0.9726572289796782,0.02117483224162796,-0.04484010486333331,0.22688963482045238,0.9937310186835865,0.006894998162423797,0.0281160892207662,-0.10798429067855896,0.9999418444350825,-1.734723475976807e-18,-5.204170427930421e-18,-0.010784606982423645,0.9988920166694631,0.004942066307862372,0.008189644068200884,-0.0460786799361457,0.9990191354704934,-0.034856761891306765,-0.026778537564230515,0.005355654970414417,0.9992168722062139,-0.022987326037863676,-8.546145948383488e-08,0.032205979880334745,0.9890513513151028,0.016994236270156057,0.06610430964585688,-0.130838987467834,0.9768076906870746,-0.017920701768091598,-0.046938982437850905,-0.2081401349822341,0.9969099238478628,0.0,-1.2739375526704677e-17,-0.07855319047402484,0.9999898149584547,-0.00047396097310180296,-0.0007854147294111546,-0.004419102177370071,0.9999023031108627,0.011003194934387315,0.008453150920783798,0.0016906135981462067,0.9992168722062139,0.02298732603786366,-8.546145951018099e-08,0.032205979880334856,0.9917316126302729,0.011212781896343877,-0.0342737778950269,-0.12315839468223755,0.9851240012992543,-0.06790381039300299,-0.0867163896010324,-0.13190922019639,0.9380636124414561,0.07831703125073441,0.007715382428536829,0.33740713463609306,0.571995232310585,0.0462608996779125,0.8189498254085473,0.0016021355310286076,0.9999999999999999,0.0,-2.6020852139652106e-17,0.0,0.9883544097496801,0.07848365835411318,0.09343595342695668,-0.09091533812790578,0.929242551423985,-0.08351774602461137,-0.00822772952266681,0.3598129669549344,0.5985127552574186,-0.045181233984357985,-0.7998366642423753,0.0015647438940021435,1.0,-6.938893903907228e-18,5.637851296924623e-17,0.0
0.01,0.9997043936503613,-0.009023217358536515,0.019698689887346868,-0.01103034366581552,0.9733602358851657,0.02488814942633192,-0.04553602115363808,0.22333137261299052,0.9929342897709627,0.00751697319483435,0.029590243289358477,-0.11467087168543962,0.9999029609306472,-8.673617379884035e-19,-2.6020852139652106e-18,-0.013930855039257173,0.9989831419127718,0.00473458619356363,0.007845822641800131,-0.044144183475692086,0.9991426250910092,-0.03258977211663343,-0.025036933710489977,0.005007337616884308,0.9992047025232377,-0.023165176698636807,-8.612266632636832e-08,0.03245515435122053,0.9899927536100694,0.02375364246414452,0.07006811645882347,-0.12016892828493735,0.9705651409859158,-0.021300793790091203,-0.05073963549361111,-0.23446763673666554,0.9948168509238257,-5.204170427930421e-18,2.1033522146218786e-17,-0.10168300309295988,0.9997525661667946,-0.002335957629059122,-0.0038709843916819708,-0.021779927105100072,0.9997542601393397,0.01745019033799323,0.013406023741564646,0.00268117844422211,0.9992047025232377,0.023165176698636783,-8.612266630338324e-08,0.032455154351220594,0.9914628345475508,0.01843186146411332,-0.032362463339417925,-0.12495753342839525,0.9852093473475064,-0.06911205440337612,-0.08778964619820254,-0.12991937444292084,0.9380313121824693,0.07833679722991543,0.007717329668952069,0.3374922908568057,0.5724430296352567,0.04624327826070957,0.8186378760810958,0.0016015252554221412,1.0000000000000002,6.938893903907228e-18,1.5395670849294163e-17,-3.469446951953614e-18,0.9882290648189958,0.07568288092416874,0.0932774228293249,-0.09473510105716257,0.9286770399266238,-0.08383853900761154,-0.008259332361854027,0.36119501425009976,0.5979707236841739,-0.04520405641265786,-0.8002406862955922,0.0015655342941788969,1.0,0.0,-7.025630077706069e-17,0.0
0.02,0.9996878303411185,-0.010568041056110998,0.019177620637063537,-0.012032341534551223,0.9733841199445008,0.0265883395332909,-0.04847862102796795,0.22241006844106367,0.9919775546520444,0.008241990383038455,0.03121732292886971,-0.1222214359686172,0.9998421813400147,-1.734723475976807e-18,5.204170427930421e-18,-0.01776548376040224,0.9991640137258503,0.004293100688051164,0.007114223969061818,-0.040027875025400235,0.9993992805886673,-0.0272809599395741,-0.020958464610344365,0.0041916517992594965,0.9991733922551488,-0.02361658777771999,-8.780090632841409e-08,0.0330875957281239,0.9914056548713354,0.02677442587615635,0.06969593591997778,-0.10742641260127235,0.9638356541234047,-0.02468427098925604,-0.0539560201721795,-0.2598081340016455,0.9921619291193029,-5.204170427930421e-18,3.469446951953614e-18,-0.12495881884150253,0.9989600450260845,-0.004788027245647761,-0.00793438138786609,-0.044642455449606655,0.9992364820782276,0.030755001397422373,0.02362738004112297,0.004725429648709978,0.9991733922551489,0.02361658777772,-8.780090628938281e-08,0.03308759572812392,0.9914259856633675,0.02369711997916173,-0.031051384389003622,-0.12469471914896724,0.9851708371372738,-0.07009741126944735,-0.09005050225358616,-0.12812369660387682,0.9377662121270045,0.07849881014651515,0.0077332903302535375,0.33819027842210203,0.5730543982511063,0.046219186967758494,0.8182113915057092,0.001600690911155292,0.9999999999999999,1.0408340855860843e-17,1.9168694409543718e-16,6.938893903907228e-18,0.9879936842262693,0.07289458293282725,0.0941200322340636,-0.09846968691079924,0.9279023741698523,-0.08427568044363964,-0.008302397239320056,0.3630783164770284,0.5967989700086052,-0.045253283600568864,-0.8011121478803388,0.0015672391600028424,1.0,0.0,-5.4643789493269423e-17,-6.938893903907228e-18
0.03,0.9996517385770781,-0.013975132673246864,0.019285919920318324,-0.01136444100769222,0.9742002915785255,0.030355921201766233,-0.05010273794225608,0.21794959414276888,0.9914020834579903,0.008667924543008129,0.03213166007305532,-0.12654774759047355,0.9997981180543961,5.204170427930421e-18,-2.6020852139652106e-18,-0.020092862784784477,0.9992743622400962,0.003999847407013101,0.006628265294304041,-0.037293649453460836,0.9994671131491488,-0.025695003661043863,-0.019740061423258844,0.003947973552483233,0.9991631074203692,-0.023762993848080033,-8.834520955785553e-08,0.033292715320920735,0.9923156782787398,0.03346938986511832,0.07137639255002544,-0.09536668795132801,0.9561631943713107,-0.028269157726987144,-0.05681941165971156,-0.2858747189062055,0.9887743868396627,-1.734723475976807e-18,2.981555974335137e-17,-0.14941623716935434,0.9979039733249273,-0.006795681185065572,-0.011261324037299115,-0.06336135510293611,0.9989268860068724,0.03645821761888718,0.028008848127563678,0.005601714669076663,0.9991631074203694,0.02376299384808002,-8.834520958452691e-08,0.03329271532092071,0.9911070128635474,0.03059669936944623,-0.029999515225661855,-0.12597920513567856,0.9852064166237121,-0.07116652455696833,-0.09087309036656345,-0.12667171694256463,0.9372727109546342,0.0787993992484837,0.007762902789235966,0.3394852829182933,0.5731193908197472,0.046216623651229194,0.8181660134944999,0.0016006021368228235,0.9999999999999999,1.0408340855860843e-17,3.426078865054194e-17,3.469446951953614e-18,0.9878635250760617,0.0709267311733914,0.09294304227277064,-0.10225774064801707,0.9270274646393304,-0.08476624339014902,-0.008350724923313508,0.36519177041542483,0.596175315535159,-0.045279423140368646,-0.801574892264998,0.0015681444403966571,0.9999999999999999,-6.938893903907228e-18,-1.2576745200831851e-16,0.0
0.04,0.9995913289599497,-0.015206285231280665,0.020248825570022357,-0.0132638237541591,0.9743095597765388,0.03180359872803738,-0.0532116325351223,0.21651312892972674,0.9907602573771318,0.009134848564442412,0.033101495536993375,-0.13120578469304894,0.9997422885168854,-7.806255641895632e-18,4.336808689942018e-18,-0.022701465834191248,0.9993786553454174,0.0037013580370728206,0.006133629741951502,-0.03451060380311442,0.9995862507580452,-0.022641892583255066,-0.017394523706953487,0.0034788706114247947,0.9991400770213771,-0.02408760232332928,-8.955202737768574e-08,0.03374750218937353,0.9938121133467085,0.035760063833056493,0.06833876377373121,-0.07992818380197893,0.947870941361116,-0.0318672952838407,-0.05920063072438058,-0.31148104169647217,0.9847772023372915,3.469446951953614e-18,-1.3118846287074604e-17,-0.17382135011769176,0.9958882184841528,-0.009513282868347009,-0.0157647420650603,-0.08869964284679682,0.9978301567417396,0.051828365520218744,0.03981688939734777,0.007963299754359499,0.999140077021377,0.024087602323329252,-8.95520273543754e-08,0.03374750218937356,0.9911181052734814,0.03526095024007795,-0.03018321610830368,-0.12462158822864638,0.9851583254623041,-0.07185593506657711,-0.09256269703498501,-0.12542705244733404,0.9364464485984173,0.07929976941979375,0.00781219662948806,0.34164098855553304,0.5731492983590986,0.04621544394801531,0.8181451293839915,0.001600561280625773,1.0000000000000002,0.0,-4.9873299934333204e-18,-3.469446951953614e-18,0.9877710092296683,0.06931108336250977,0.0908366648243992,-0.106080664459161,0.9259509025075697,-0.08536537598356124,-0.008409748318477399,0.3677729664641248,0.5950791188803227,-0.0453252658887322,-0.8023864396198923,0.0015697320942577725,1.0000000000000002,-1.3877787807814457e-17,1.9949319973733282e-17,-2.0816681711721685e-17
0.05,0.999517091743368,-0.016636812312113572,0.022012796354054124,-0.014291136611416523,0.9748798711265487,0.03357928248783432,-0.05637520424885243,0.21284620035552962,0.9904550414775466,0.009354077470644156,0.03354574651192299,-0.13336414412180872,0.9997132644645493,-2.6020852139652106e-18,-2.6020852139652106e-18,-0.023945539326440696,0.9995091343805385,0.003289957530317176,0.0054518858093688845,-0.03067480090297877,0.9996399590430427,-0.021121555866617167,-0.01622653242871256,0.0032452746475037514,0.999111395408382,-0.024485837135495524,-9.103257050978916e-08,0.03430544191351321,0.9950620668846298,0.03851052954409537,0.06473194693633127,-0.06463897591510487,0.9390266419534289,-0.03543338199914458,-0.06112310600596966,-0.3365076626972294,0.9801971070426687,-2.6020852139652106e-18,2.0599841277224584e-17,-0.19802432008514254,0.9931284866361276,-0.012289695821443614,-0.02036561798532668,-0.11458627322906767,0.9965818276668106,0.06503012421100579,0.04995907621658052,0.009991717218121643,0.9991113954083821,0.024485837135495507,-9.103257050599445e-08,0.034305441913513146,0.9909742262495486,0.04002590060574409,-0.030641904268369862,-0.1242138635282537,0.9851742886878113,-0.07273221967078237,-0.09346356473417448,-0.12412174345136653,0.9355640985712803,0.07983016006787258,0.007864447929378949,0.3439260290626627,0.5730722661244986,0.04621848229932975,0.8181989168653385,0.0016006665066509787,1.0,0.0,-1.3877787807814457e-17,-3.469446951953614e-18,0.9878664180176167,0.06833397508805251,0.08690160039169254,-0.10908033668389386,0.9250599398026031,-0.08585753466017866,-0.008458233205416868,0.3698932951616226,0.5939257854667797,-0.04537335714747209,-0.8032377920194971,0.0015713976198938329,0.9999999999999999,-1.3877787807814457e-17,1.0408340855860843e-17,-1.3877787807814457e-17
0.06,0.9994061028412727,-0.018897910107473985,0.02455479121486414,-0.015078886748821534,0.9757074575523246,0.03633889497722305,-0.05939428663661841,0.20771798358240573,0.9904781204777238,0.009337561413349805,0.03351251734763404,-0.13320215457263598,0.9997155148545256,-8.673617379884035e-19,-4.336808689942018e-18,-0.023851401618164958,0.9996020588126937,0.0029622964720806425,0.004908908990604185,-0.027619765197367023,0.999641022504311,-0.021090344793351937,-0.01620255467368014,0.0032404791435442504,0.9990949070619024,-0.024711862406578623,-9.187287918909111e-08,0.034622110556093016,0.9960212141289846,0.042730564016436684,0.06130615552442413,-0.048553014310913745,0.9293742491998415,-0.03904743615240623,-0.06266226992103781,-0.3616797514134538,0.9748860407011756,-2.6020852139652106e-18,6.342582709040201e-18,-0.22270430540514008,0.9903618878740561,-0.014544851742264013,-0.024102703479390676,-0.13561282394860547,0.9956005016230431,0.07375856051258778,0.05666465489619965,0.0113328197969636,0.9990949070619026,0.02471186240657859,-9.187287920361942e-08,0.0346221105560931,0.9907186118471986,0.04551098703415025,-0.03214046876652802,-0.12398537198478378,0.9852391684225794,-0.07368700449836221,-0.09374738072797753,-0.12282277875331682,0.9343053969641354,0.08057988345808086,0.007938306738614925,0.3471560036520973,0.5729757899610215,0.046222286712021485,0.8182662658172917,0.0016007982633783335,0.9999999999999999,1.3877787807814457e-17,-6.093216209368535e-17,-6.938893903907228e-18,0.9879755123127605,0.067772810111992,0.0820154164969586,-0.11218157039680282,0.9239397093660167,-0.0864716978408854,-0.00851873733506791,0.37253924631288393,0.5930484109183959,-0.04540984506941009,-0.8038837322737656,0.0015726612917332655,0.9999999999999999,0.0,3.469446951953614e-18,0.0
0.07,0.9992814010194739,-0.02080839564878356,0.02797307984448048,-0.014872762053337483,0.9769801701701936,0.03852286180302488,-0.06122668517158572,0.20069137807993734,0.990730045818938,0.009156627401201966,0.03314593879961259,-0.13142099994800321,0.999739486735054,8.673617379884035e-19,0.0,-0.022824518893749007,0.9997094395424814,0.002531331314540353,0.004194743897263362,-0.02360154603136013,0.9996188667255959,-0.02173131940627449,-0.01669498029839503,0.003338963302294086,0.9990866527639363,-0.024824239456362036,-9.22906705709851e-08,0.03477955440138301,0.9968588403966759,0.045944310550522435,0.05519814921514311,-0.033387676981999063,0.9195858091650516,-0.042452576438112025,-0.0637574902423219,-0.3853501015622333,0.9692160517702747,-3.469446951953614e-18,5.664956351236761e-18,-0.24621178889492726,0.9875923390579867,-0.016491338410699052,-0.02732828403718702,-0.1537614141551153,0.9949755047331565,0.0788114020660654,0.060546475811402066,0.012109176363445162,0.9990866527639362,0.024824239456362023,-9.229067058150187e-08,0.03477955440138303,0.9903400426115435,0.05056308724713564,-0.033196820001913714,-0.12477157268370447,0.9852993760972638,-0.07479544937232277,-0.0935647813812126,-0.12180481066288276,0.9333022971153776,0.0811716901050192,0.007996608420023884,0.34970563789912057,0.5729145062273397,0.046224702861521014,0.8183090385524645,0.0016008819409330452,1.0,6.938893903907228e-18,5.2475385148298415e-17,6.938893903907228e-18,0.9881988782730734,0.06715921580249344,0.07754127398333853,-0.1137539781355997,0.922853763437841,-0.08706222609115441,-0.008576913075553933,0.37508337294361693,0.5923796911384276,-0.04543759967047705,-0.8043750678477891,0.0015736225059082426,1.0,-3.469446951953614e-17,-3.0357660829594124e-17,1.3877787807814457e-17
0.08,0.9991638485778789,-0.020398887006846052,0.031050469233447224,-0.017069196357945886,0.9774602943610158,0.038446932569812305,-0.06482822092933026,0.19720676483018187,0.9908036973568342,0.009103502943605806,0.03303740820153359,-0.1308957187898369,0.9997462897545162,-3.469446951953614e-18,2.6020852139652106e-18,-0.022524567078607477,0.9997409555510938,0.0023901287932494623,0.00396075302808678,-0.022285006474942397,0.9995851722643335,-0.02267137685141323,-0.017417174852372253,0.0034834007960644862,0.9990550539837406,-0.025249806787670786,-9.387282959782365e-08,0.03537578786008463,0.9976181338425775,0.04540518587953539,0.0495889515709465,-0.01540662214089129,0.9098413016831914,-0.045612222888147216,-0.06447767097830903,-0.4073707903370722,0.9633249732641503,8.673617379884035e-19,8.917562868693274e-18,-0.2683374664217133,0.9829831193028115,-0.019290646099905273,-0.0319670995009748,-0.17986150974640974,0.9923635211152927,0.09709680008913746,0.07459414378941528,0.014918682395980432,0.9990550539837406,0.02524980678767077,-9.387282960682253e-08,0.035375787860084607,0.9904249129752294,0.053195586430015734,-0.03387287889789354,-0.12280614568312415,0.9852744424573506,-0.0756310603233466,-0.09393587938506581,-0.12120340885832154,0.9319011614322218,0.08199012926288499,0.008077236745645828,0.353231655250894,0.5732699483835012,0.046210683975539235,0.8180608642993236,0.0016003964303723944,1.0,-6.938893903907228e-18,8.803721640582296e-17,2.0816681711721685e-17,0.9888747379563281,0.06803115378272748,0.06585623882560136,-0.1147234525044443,0.9227032644580165,-0.08714369589013043,-0.008584939052093645,0.3754343629006273,0.5913828460892694,-0.04547888330634317,-0.8051059059123364,0.001575052265820595,1.0000000000000002,0.0,-1.9949319973733282e-17,0.0
0.09,0.9990363582540811,-0.02151669828415685,0.03477038271825236,-0.015950143165446937,0.9789959046948447,0.039689010221254026,-0.0662229253662691,0.1886963836810693,0.9912436490342961,0.008783954954526005,0.03237575212584409,-0.12771327675232366,0.9997849923279191,2.6020852139652106e-18,-3.469446951953614e-18,-0.02073569665728789,0.9998165226165296,0.002011562974352738,0.003333420426697188,-0.018755346588357046,0.9995640358136411,-0.023241658456934794,-0.017855290918439137,0.0035710231496460312,0.9990471833628106,-0.025354693850475143,-9.426277497144933e-08,0.035522737993772216,0.9979568002829382,0.0471357145226802,0.043117559203199075,-0.0011512053835099692,0.9000643583761148,-0.04857593004261167,-0.06489983435341769,-0.4281501387391896,0.957196458676319,1.0842021724855044e-18,-9.283481101907132e-18,-0.28943900825133084,0.9812244067652436,-0.020254007044847446,-0.03356351338067741,-0.1888436637442938,0.9918153422970646,0.10050758698239423,0.07721446420900774,0.015442741338542287,0.9990471833628107,0.02535469385047509,-9.42627749744851e-08,0.03552273799377231,0.9899483627109078,0.05721749013930105,-0.0349203401016158,-0.1245350064654088,0.985354120569951,-0.07688880551972557,-0.09368860991066104,-0.11994921022906366,0.9307170260872704,0.08267455016498568,0.008144662296863251,0.35618029224306386,0.5732945387982693,0.04620971363354844,0.8180436864794044,0.0016003628249001423,1.0,1.3877787807814457e-17,1.3877787807814457e-16,0.0,0.9891818479067054,0.06752368527165582,0.060946135933953136,-0.11508862764812844,0.921734129534554,-0.08766618916966311,-0.008636412344729418,0.37768537979310024,0.5908009889527971,-0.045502931092779406,-0.8055316202983619,0.0015758851033435134,1.0,0.0,-3.469446951953614e-18,0.0
