time,pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,femur_r_qw,femur_r_qx,femur_r_qy,femur_r_qz,tibia_r_qw,tibia_r_qx,tibia_r_qy,tibia_r_qz,patella_r_qw,patella_r_qx,patella_r_qy,patella_r_qz,talus_r_qw,talus_r_qx,talus_r_qy,talus_r_qz,calcn_r_qw,calcn_r_qx,calcn_r_qy,calcn_r_qz,toes_r_qw,toes_r_qx,toes_r_qy,toes_r_qz,femur_l_qw,femur_l_qx,femur_l_qy,femur_l_qz,tibia_l_qw,tibia_l_qx,tibia_l_qy,tibia_l_qz,patella_l_qw,patella_l_qx,patella_l_qy,patella_l_qz,talus_l_qw,talus_l_qx,talus_l_qy,talus_l_qz,calcn_l_qw,calcn_l_qx,calcn_l_qy,calcn_l_qz,toes_l_qw,toes_l_qx,toes_l_qy,toes_l_qz,torso_qw,torso_qx,torso_qy,torso_qz,humerus_r_qw,humerus_r_qx,humerus_r_qy,humerus_r_qz,ulna_r_qw,ulna_r_qx,ulna_r_qy,ulna_r_qz,radius_r_qw,radius_r_qx,radius_r_qy,radius_r_qz,hand_r_qw,hand_r_qx,hand_r_qy,hand_r_qz,humerus_l_qw,humerus_l_qx,humerus_l_qy,humerus_l_qz,ulna_l_qw,ulna_l_qx,ulna_l_qy,ulna_l_qz,radius_l_qw,radius_l_qx,radius_l_qy,radius_l_qz,hand_l_qw,hand_l_qx,hand_l_qy,hand_l_qz
0.0,0.9962142408493081,0.03754862107417971,0.07821072655577382,0.005510865275308507,0.9552928910992826,-0.011156992861929591,-0.1885971889423707,0.2274249635560902,0.999994028358705,0.0001089826474399598,0.0009819078145852436,-0.0033116803522593996,0.9999988727223272,-3.469446951953614e-18,-1.9081958235744878e-17,0.0015015172574463498,0.9987627391398023,-0.005222260691539516,-0.008653962458379903,0.04869114737811936,0.9907988413892344,0.10653909356284483,0.08184813976490551,-0.016369467357941675,0.9991741170100599,-0.023606236485044736,-8.776242262434342e-08,0.03307309323561636,0.9887488607000994,-0.06609159206715286,0.01663162083335763,-0.1331577301952087,0.9996453406079526,-0.0010274686122950048,-0.0073855578982143085,-0.025565422812723018,0.9999851254366985,-6.938893903907228e-18,-5.204170427930421e-18,0.005454255710040129,0.9927644361634994,0.012609894694000815,0.020896228995767957,0.11757173324626834,0.9972650341472931,-0.05817921443108861,-0.04469589814333502,-0.008939091930405992,0.9991741170100598,0.02360623648504474,-8.776242264472642e-08,0.03307309323561628,0.9920974180782759,-0.023497113579746546,-0.09001542948268551,-0.08418919854047242,0.9619058718763621,-0.04746178931172191,-0.2045871223271752,-0.17501023279508665,0.9606192891101512,0.06281128497008587,0.00618783777465361,0.27060494181294753,0.5914310715353552,0.045476888545962185,0.8050705929660428,0.0015749831820694483,1.0,1.734723475976807e-18,-1.797946015159868e-16,1.734723475976807e-18,0.9857174433849595,0.1009749836592621,0.12169496529834363,0.057926763267643205,0.8465783202073826,-0.12031686289520677,-0.011852985168275836,0.5183517213249154,0.6499272881338624,-0.042862321657405555,-0.7587853042706144,0.001484433916067951,0.9999999999999999,2.7755575615628914e-17,2.7755575615628914e-17,-2.7755575615628914e-17
0.01,0.996111822142052,0.03719182944772864,0.0796568220476556,0.0057268064783290796,0.9571123133716793,-0.01084681418145831,-0.181772149521744,0.22533808349382525,0.999993215772627,0.00011642216358609056,0.0010463411905306617,-0.003529876019503303,0.9999987835432702,-3.469446951953614e-18,8.673617379884035e-18,0.0015597794652396635,0.9986439954368364,-0.00546695608268568,-0.009059454419389865,0.05097263044776895,0.99003526491878,0.11085041262934922,0.08516028964084009,-0.017031890834326657,0.9991658544606324,-0.023723977924029332,-8.820015754557042e-08,0.03323805276195596,0.9882927778731481,-0.06316203311278805,0.01731952945851491,-0.13779686743961542,0.9994252411794634,-0.0013805511447141545,-0.009328434864083343,-0.03256165958446883,0.9999826303148617,8.673617379884035e-18,-5.204170427930421e-18,0.005893985796590881,0.9927536329071065,0.0126192707505569,0.02091176633605731,0.11765915342280961,0.9974231498001692,-0.05647466649436064,-0.04338638749240202,-0.00867719236962309,0.9991658544606326,0.02372397792402932,-8.820015757722913e-08,0.03323805276195584,0.9919687105099385,-0.023375030007881808,-0.09151099422499379,-0.08412742286159484,0.9609161740323982,-0.04655008950724962,-0.2046690543222212,-0.18050976110075714,0.9610112807156895,0.06250414194216984,0.006157579657322221,0.26928170155067527,0.5912537769776247,0.045484220791625625,0.8052003946203068,0.0015752371168476775,1.0000000000000002,-3.469446951953614e-18,-1.5280474368467578e-17,3.469446951953614e-18,0.9851938662192171,0.10422183615378164,0.1211357953716777,0.06210454019181515,0.8414751585428598,-0.12213239196804701,-0.012031841553450153,0.5261734230995189,0.6489807343725491,-0.04290791646494874,-0.7595924623660492,0.0014860129830921998,0.9999999999999999,5.551115123125783e-17,-1.6653345369377348e-16,-5.551115123125783e-17
0.02,0.9960616611816963,0.03653199234432477,0.08055091820880371,0.006174968423607992,0.959123074106032,-0.010080701756249784,-0.1744780665266445,0.2225729374174235,0.9999915696953733,0.00013031967711581854,0.001165889639510368,-0.003935003978832202,0.9999986107085627,-1.0408340855860843e-17,8.673617379884035e-18,0.0016669075992868654,0.9985326268413515,-0.0056868686142700665,-0.009423877971730313,0.05302304388327947,0.9891974471516763,0.1153921315059136,0.08864944304876421,-0.017729714669809465,0.9991545073428969,-0.023884727068997018,-8.879778498963042e-08,0.03346326746157263,0.9878266722078418,-0.05974748259361538,0.019102805249799185,-0.14235092844830616,0.9991181518937254,-0.001808407294414418,-0.011452739706840324,-0.04035446657721209,0.9999822919771623,1.214306433183765e-17,5.204170427930421e-18,0.005951111837400588,0.992680847965533,0.012682256881307235,0.021016142513944236,0.11824642149621514,0.9975449466921749,-0.05512553185520039,-0.04234992137639806,-0.008469901180082652,0.9991545073428968,0.023884727068997014,-8.8797785017386e-08,0.03346326746157264,0.9917362651101449,-0.02313041502562579,-0.09370620527412012,-0.08451811320212443,0.9598514202160048,-0.0466656919808735,-0.20510726577568375,-0.18557632884419237,0.9612928906188378,0.062282475192264874,0.00613574221379427,0.2683267120453902,0.5909646556864265,0.04549617052784363,0.8054119390229783,0.0015756509673588957,0.9999999999999999,3.469446951953614e-18,-1.3571500694087302e-16,0.0,0.9847737961295334,0.10818297038677295,0.11996289759169473,0.06423331360226703,0.8349572115879381,-0.1243971738521982,-0.012254955965148223,0.5359306055910353,0.6476760184262225,-0.04297057567335699,-0.760701709011562,0.001488183034795365,0.9999999999999999,0.0,-6.938893903907228e-17,0.0
0.03,0.9959986701047365,0.035151206396436686,0.08190067607038248,0.006581876456287557,0.9613265026356215,-0.008609136337259087,-0.16711904269985253,0.2187429168429826,0.9999893952091012,0.00014687811868020068,0.0013069687043556506,-0.0044135845930327045,0.9999983948989595,-3.469446951953614e-18,-1.3877787807814457e-17,0.001791702962100905,0.9986028815079416,-0.0055491589271895285,-0.009195675181302574,0.05173907070287179,0.9888213957480795,0.1173723315283675,0.09017072207208043,-0.018033967489556102,0.9991394635641364,-0.024096188976764493,-8.958395049385448e-08,0.033759532365798456,0.9875085215105458,-0.05524361546517829,0.020510668845986117,-0.1461313633614705,0.9986818304743199,-0.0023472772683844033,-0.01385706011858165,-0.049366726190390425,0.9999850666139124,-5.204170427930421e-18,3.469446951953614e-18,0.005465029658573206,0.9927276990981849,0.012641749689131326,0.020949016849200447,0.11786874183205998,0.9975571479930552,-0.0549885457510312,-0.04224468246901729,-0.008448853605096798,0.9991394635641366,0.024096188976764518,-8.958395051944165e-08,0.033759532365798504,0.9914927094110954,-0.022044888871615965,-0.09644974315597786,-0.08457941300593941,0.9588734556409763,-0.046241813597630584,-0.20573545984227187,-0.18999029266208206,0.9616463025552785,0.06200307631622081,0.006108217304533122,0.26712299974065845,0.590622286186284,0.04551030946462792,0.8056622385176174,0.0015761406355916914,0.9999999999999999,0.0,-7.231628490478315e-17,3.469446951953614e-18,0.9842171949747148,0.11200116024319326,0.12039069574337215,0.06540897185179963,0.828703887152561,-0.1265157850563557,-0.01246367040945759,0.5450580523850043,0.6464412575958316,-0.04302967534638774,-0.7617479417317885,0.0014902298105107792,1.0000000000000002,0.0,-1.942890293094024e-16,2.7755575615628914e-17
0.04,0.9959396170519239,0.03368771180075074,0.08316702312371105,0.00725696388560314,0.9637870874961136,-0.006884666038656099,-0.15942803450956522,0.2136580285449432,0.9999868634141966,0.0001643013497542381,0.0014538644534212823,-0.004912461934132223,0.9999981572428405,6.938893903907228e-18,-3.469446951953614e-18,0.001919768455619919,0.9988426985168238,-0.005050796280206393,-0.008369823717273225,0.047092452978230476,0.9889321227819046,0.11679283392961903,0.0897255258641006,-0.017944929121484016,0.999128099426887,-0.02425470383490717,-9.017327137414433e-08,0.033981616758027106,0.987282401480211,-0.05043251034216215,0.021906849489403347,-0.1491647128965287,0.9980364690318213,-0.0030616027893930146,-0.016696075959766656,-0.06029157584936587,0.999991557037967,-1.734723475976807e-18,-5.204170427930421e-18,0.004109239927532565,0.9929398291895077,0.012456670751195404,0.020642317073884933,0.11614310874403298,0.9976856500965472,-0.0535244402485183,-0.0411198905471717,-0.008223897427692972,0.999128099426887,0.024254703834907177,-9.017327139539469e-08,0.033981616758026995,0.9913080675450421,-0.02110247226752522,-0.09836083300004757,-0.08478294295345984,0.9579668846760554,-0.04564663263839029,-0.20641064281200006,-0.19393421391483784,0.9621221120391633,0.06162474857329584,0.006070946443094976,0.26549307994345656,0.5905412809858559,0.0455136529199535,0.805721427209888,0.0015762564281640613,1.0000000000000002,-3.469446951953614e-18,-1.1476279995759064e-16,3.469446951953614e-18,0.9837517049444234,0.11530221954315006,0.12058603957116666,0.06630978998537797,0.8228533730601904,-0.12845220938789761,-0.012654436760316062,0.5534005977383056,0.6454210775951711,-0.043078358386131055,-0.7626097703424713,0.0014919158310653935,0.9999999999999999,-5.551115123125783e-17,-5.551115123125783e-17,8.326672684688674e-17
0.05,0.9959230686836744,0.03145066958522906,0.08422112285522325,0.0074093934528526445,0.9665241891549676,-0.00423978038588391,-0.15016407628791562,0.2079994380598389,0.999985619878724,0.0001722964664437731,0.0015207517838291152,-0.005139811640881342,0.9999980448500633,3.469446951953614e-18,-1.0408340855860843e-17,0.001977446851597453,0.9992237618473823,-0.004136904381446867,-0.006855386455323563,0.03857153689254747,0.9899144749804459,0.11151685433265014,0.08567228023370885,-0.017134287948318727,0.999111271743646,-0.024487540133216197,-9.10389018650426e-08,0.03430782786785341,0.9873098337560542,-0.04465849573869084,0.023591135840305005,-0.1505601847658072,0.9971234575821932,-0.003975198897018377,-0.019900863277313854,-0.07302714408957228,0.9999988552295249,6.938893903907228e-18,-2.6020852139652106e-18,0.001513122480094664,0.9933022738473758,0.012133820402733773,0.02010731222439736,0.1131329269805124,0.997804176022721,-0.05213738789540069,-0.04005429433208614,-0.008010780275492665,0.9991112717436459,0.024487540133216218,-9.103890187198149e-08,0.034307827867853385,0.9911501362903092,-0.019332129522392938,-0.10075939168334287,-0.08423313532947266,0.9572141789539446,-0.04527514427032946,-0.20727790280060854,-0.19679188990252677,0.9626366585516263,0.06121277588613084,0.0060303610585263085,0.2637182102669023,0.5904061179472117,0.045519230149523526,0.8058201600753192,0.0015764495821606272,0.9999999999999999,-3.469446951953614e-18,-9.64939933512099e-18,-6.938893903907228e-18,0.9833412102842072,0.11843577712954081,0.12164894791214158,0.06491967594174397,0.8163822982248666,-0.13054497843578644,-0.012860605371168668,0.5624167107934932,0.644361569545752,-0.04312877873952964,-0.7635023543583503,0.0014936620193200523,1.0,0.0,-1.1102230246251565e-16,-8.326672684688674e-17
0.06,0.9959273024989861,0.02930007008649044,0.08494173626389852,0.0074307113047177645,0.9691667326772867,-0.0011556893996876887,-0.1415746187228355,0.20167086053053856,0.999986293428945,0.00016800662192282406,0.0014849030064129024,-0.005017946898551673,0.9999981054056355,8.673617379884035e-18,1.5612511283791264e-17,0.001946582939371333,0.999601230773827,-0.0029653762403445555,-0.00491401256557117,0.027648480242303652,0.9911655092307808,0.10440432509692278,0.08020811428767143,-0.016041465480404915,0.9990947744969954,-0.024713671238787337,-9.187960402223805e-08,0.03462464478793997,0.9874965618596097,-0.03909016004598224,0.024803663619552687,-0.15068934260284436,0.9958535208947333,-0.005133654068612445,-0.023463265607409873,-0.08774329424236715,0.9999961427281118,0.0,9.107298248878237e-18,-0.0027775040769814907,0.99389933976069,0.011582100316716866,0.019193040571957695,0.10798881687064356,0.9980359168555477,-0.049312341989187214,-0.037883966573124685,-0.007576718982121755,0.9990947744969952,0.024713671238787333,-9.187960396932898e-08,0.03462464478793989,0.9911071516311494,-0.0179415499455324,-0.10218292471670404,-0.08332685441970078,0.9566363039969041,-0.044566548631533295,-0.20793861076161282,-0.1990536077863106,0.9632111586631553,0.06074923714964164,0.005984695657714471,0.26172118261692756,0.5902629259009176,0.045525136542114764,0.80592472006475,0.0015766541359306264,0.9999999999999999,0.0,-1.7455654977016621e-16,6.938893903907228e-18,0.9830429618457021,0.12080623390275186,0.12280408194654728,0.06286132732554091,0.8104847323447403,-0.1324093951768652,-0.013044277912554185,0.5704490314819648,0.6434828016431424,-0.04317049052396893,-0.7642407718733967,0.001495106607133534,0.9999999999999999,-8.326672684688674e-17,-8.326672684688674e-17,-5.551115123125783e-17
0.07,0.9959615069638733,0.02751280823942129,0.08525512436222872,0.005940185099162828,0.9718898800872242,0.001398202166101525,-0.1298385552509194,0.1963926057291812,0.9999891336006078,0.00014876048095902386,0.0013229147837972768,-0.004467711662553969,0.9999983697282555,1.734723475976807e-18,0.0,0.0018056967716567618,0.9998996904456822,-0.0014873820808264313,-0.002464784783645946,0.013868005521521315,0.9933170020080682,0.09085480489115465,0.06979876137821615,-0.013959615322807511,0.9990622923887943,-0.025152958069502577,-9.35127689033477e-08,0.03524009970463657,0.9880795761088866,-0.034416089719507874,0.02489220618664791,-0.14796844973190423,0.9941537857579107,-0.006557324084355422,-0.02728231180287464,-0.10426373879138359,0.9999582406807113,-3.469446951953614e-18,-8.239936510889834e-18,-0.00913875783335652,0.9946681235049043,0.010829855257232655,0.017946473062445067,0.10097505842018031,0.9983381997551916,-0.04536260157669652,-0.03484959773718238,-0.006969851168698277,0.9990622923887942,0.025152958069502584,-9.351276890161297e-08,0.03524009970463657,0.9911540564691746,-0.01704748602099384,-0.1039500516854319,-0.08073045472224462,0.9564311692739326,-0.04397288390509485,-0.20794290164224752,-0.20016381685751722,0.9639777749343982,0.06012468566836584,0.005923168127273186,0.2590304763635797,0.5893123237184823,0.045564291323376076,0.8066178713329074,0.0015780101680593576,1.0,0.0,2.190088388420719e-17,6.938893903907228e-18,0.9826315312549557,0.12236372780483207,0.12652082847140675,0.05877815805343685,0.8039996532377237,-0.13441443520154153,-0.013241803920982407,0.5790871884543716,0.642464688751905,-0.0432186950824876,-0.7650941300021331,0.0014967760566363397,1.0,-2.7755575615628914e-17,0.0,-8.326672684688674e-17
0.08,0.995987132034212,0.025262582165465987,0.08561254671819775,0.00647507598585419,0.9737743071673898,0.005417727089297073,-0.1267404937664233,0.18886792785885823,0.9999900685208227,0.00014193320087630378,0.0012649901062382046,-0.004271125696708816,0.9999984604180865,-1.734723475976807e-18,8.673617379884035e-18,0.0017547539590242744,0.9999957800168736,-0.0003050824215677945,-0.0005055610929643115,0.0028445177344549877,0.9938533343070737,0.08714459387592377,0.06694840983516703,-0.013389550606900474,0.9990507562045907,-0.02530713470304049,-9.408596127538638e-08,0.035456106105274915,0.9885316837786436,-0.028871875231724697,0.025901068824498892,-0.1459474549970357,0.9918733291131169,-0.00831966954470282,-0.03138626992728479,-0.12301619467688418,0.9998346204638723,5.204170427930421e-18,-3.3393426912553537e-17,-0.018186030954132848,0.9956828244027482,0.009747492386381718,0.016152857575982872,0.09088335806776643,0.9987373259808899,-0.03954554206131175,-0.030380670094625237,-0.006076074408713605,0.9990507562045909,0.025307134703040485,-9.408596127278429e-08,0.03545610610527494,0.9913216808353909,-0.015328003755439246,-0.10305384026359243,-0.0801641030230773,0.9560298007563762,-0.043165872568240796,-0.20813993011909054,-0.20204330476698795,0.9644283021887684,0.05975436769700558,0.005886686346444991,0.25743506443815956,0.5892548097243817,0.04556665719013172,0.806659753920146,0.001578092104191538,0.9999999999999999,-3.469446951953614e-18,-4.358492733391728e-17,6.938893903907228e-18,0.9827328027237966,0.12381208897099415,0.1256123255957144,0.055931643402518126,0.7996182690055553,-0.13574333828008334,-0.01337272047000967,0.584812397553582,0.6418672089425326,-0.043246923424333894,-0.7655938521387002,0.001497753677689062,1.0000000000000002,0.0,-1.1102230246251565e-16,-5.551115123125783e-17
0.09,0.9960647852738144,0.023525312611302345,0.0853461411668416,0.004188005718733407,0.9758590686392941,0.008141797719687328,-0.11713668987087324,0.18415152774396415,0.9999924333449944,0.00012320263989026425,0.0011047997293787762,-0.003727933935082417,0.999998700207865,0.0,-3.469446951953614e-18,0.0016123221081993377,0.9999203384219164,0.0013254949861202844,0.0021965168968373205,-0.012358607800392135,0.9956527447929636,0.07332027822121152,0.05632794666036428,-0.01126547881045506,0.999016387752649,-0.025760976633359266,-9.577323858631082e-08,0.03609195318260022,0.989616031326957,-0.02503213162780573,0.02469445360786679,-0.13936888780448878,0.988912761260008,-0.010436676992459853,-0.03564358207713204,-0.1437781674913542,0.9995423080690738,3.469446951953614e-18,4.336808689942018e-18,-0.030251849198829395,0.9968219381213514,0.008365619978980839,0.013862915988943323,0.07799910026816642,0.999256424161209,-0.030350855298246403,-0.02331689676869599,-0.004663333603426856,0.999016387752649,0.025760976633359255,-9.577323856028996e-08,0.03609195318260022,0.9915955626342563,-0.014419716745991858,-0.10327193805654174,-0.07658471611923535,0.9561589688961739,-0.04243065664260322,-0.20752980732548512,-0.20221534226593615,0.9650970241977715,0.05920010729894567,0.005832083524201477,0.2550471877558461,0.5881579851856046,0.045611707981685776,0.8074572813814478,0.0015796523305242312,1.0000000000000002,-3.469446951953614e-18,-3.122502256758253e-17,3.469446951953614e-18,0.9825896272430087,0.12432114639511782,0.12863488397881773,0.0501492135252863,0.7940269924282183,-0.13741018001585767,-0.013536928959963411,0.5919935213139929,0.641238573008888,-0.04327657555521225,-0.766118779400706,0.0014987806082671917,0.9999999999999999,0.0,0.0,2.7755575615628914e-17
